Job Title,Key Skills,Role Category,Location,Functional Area,Industry,Role,Longitude,Latitude,sal,Needed_Exp
 Digital Media Planner, Media Planning| Digital Media,Advertising,Mumbai,"Marketing , Advertising , MR , PR , Media Planning","Advertising, PR, MR, Event Management",Media Planning Executive/Manager,72.8773928,19.0759899,3855,5
 Online Bidding Executive, pre sales| closing| software knowledge| clients| requirements| negotiating| client| online bidding| good communication| technology,Retail Sales,Pune,"Sales , Retail , Business Development","IT-Software, Software Services",Sales Executive/Officer,73.8544541,18.521428,2639,2
 Trainee Research/ Research Executive- Hi- Tech Operations, Computer science| Fabrication| Quality check| Intellectual property| Electronics| Support services| Research| Management| Human resource management| Research Executive,R&D,Gurgaon,"Engineering Design , R&D","Recruitment, Staffing",R&D Executive,77.00270015,28.42826235,2156,0
 Technical Support, Technical Support,Admin/Maintenance/Security/Datawarehousing,Mumbai,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Technical Support Engineer,72.8773928,19.0759899,4059,0
 Software Test Engineer -hyderabad, manual testing| test engineering| test cases| web testing| web technologies,Programming & Design,Hyderabad,IT Software - QA & Testing,"IT-Software, Software Services",Testing Engineer,78.4740613,17.360589,5347,2
 Opening For Adobe Analytics Specialist, adobe experience manager| digital| digital marketing| adobe analytics| data analytics| aem| adobe| sitecatalyst,Programming & Design,Pune,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",System Analyst,73.8544541,18.521428,4838,5
 Sales- Fresher-for Leading Property Consultant, channel partners| real estate| negotiation| property| Residential Sales,Retail Sales,Bengaluru,"Sales , Retail , Business Development","Real Estate, Property",Sales Executive/Officer,77.590082,12.9767936,2585,0
 Opportunity For Azure Devops Architect For Hyderabad Location, TFS| Azure| Git| VSTS| Docker| DynaTrace| Splunk| AWS,Programming & Design,Hyderabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Technical Architect,78.4740613,17.360589,3914,9
 BDE- PUNE, Bde,Institutional Sales,Pune,"Sales , Retail , Business Development","IT-Software, Software Services",Sales Executive/Officer,73.8544541,18.521428,2111,2
 Technical Support/ Product Support, technical support| support services| application support| communication skills| voice based process| semi voice| semi voice process,Voice,Bengaluru,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(Technical),77.590082,12.9767936,2359,1
 Executive Assistant To Chairman, secretary| executive assistant| ea,Corporate Planning/Consulting/Strategy,Mumbai,"Strategy , Management Consulting , Corporate Planning","Courier, Transportation, Freight , Warehousing",Corporate Planning/Strategy Manager,72.8773928,19.0759899,5569,5
 SEO Executive, website| web analytics| xml| link building| google analytics| case studies| seo| social media| tracking| maintaining,Admin/Maintenance/Security/Datawarehousing,"Noida,Delhi,Noida/Greater Noida","IT Software - eCommerce , Internet Technologies","IT-Software, Software Services",Webmaster,77.5545502,28.3900177,2167,1
 Workflow Coordinator, operations| workflow| tat| monitoring| mts| email,Operations,Delhi,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Process Flow Analyst,77.2219388,28.6517178,2063,2
Oracle IDAM,Oracle IDAM|OIM|OAM,Programming & Design,"Bengaluru,Hyderabad,Kolkata,Chennai","IT Software - Application Programming , Maintenance",IT-Software / Software Services,Software Developer,,,3239,3
 Looking Facebook /social Media Manager For our Digital Marketing Ageny, digital marketing| seo| social media marketing| content marketing| email marketing| sem| google analytics| campaign management| facebook| media management,Online/Digital Marketing,Gurgaon,"Marketing , Advertising , MR , PR , Media Planning","Advertising, PR, MR, Event Management",Social Media Marketing Manager,77.00270015,28.42826235,6979,2
 Wanted Engineering Fresher For MNC Chennai, instrumentation engineering| electrical engineering| Engineering| fresher| Trainee| immediate| Mechanical Engineering| electronics engineering| undergraduate,,Chennai,Other,Other,Other,80.270186,13.0836939,1513,0
 Tooling &amp; Sampling, Help Desk| Customer Service| customer relationship| access controls| Asset Management| Vendor Management,Engineering Design,Faridabad,"Engineering Design , R&D","Industrial Products, Heavy Machinery",Senior Design Engineer,77.3105561,28.4031478,6622,2
 Account Manager, Report Generation| Policies| analytical| procedures| Analysts| Data Entry| analytical skills,Accounts,Mumbai,"Accounts , Finance , Tax , Company Secretary , Audit","IT-Software, Software Services",Accounts Manager,72.8773928,19.0759899,5324,3
 Magento Developer, Copyright| Email| jQuery| XML| Javascript| CakePHP| Customer service| Open source| Facebook| CSS3,Programming & Design,Ahmedabad,"IT Software - eCommerce , Internet Technologies","Textiles, Garments, Accessories",Software Developer,72.5797068,23.0216238,6891,2
 Looking For Trained Freshers in MS Dynamics CRM- Hyderabad, C#| MS Dynamics CRM| Microsoft Dynamics| ms dynamics,Programming & Design,Hyderabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,78.4740613,17.360589,6493,0
 Job Openings Kotak Life/ Max Life/ Aditya Birla Health for Sales Mgr, sales manager| business development manager| relationship manager| brokers| insurance sales| channel sales| direct sale| direct marketing| sales| Marketing Executive| Territory Sales Manager,Retail/Personal Banking,"Bhilai/Bhillai,Bhilwara,Bhopal,Bhubaneshwar,Bikaner,Bilaspur,Bokaro,Chandigarh,Burdwan","Financial Services , Banking , Investments , Insurance",Insurance,Sales Officer,,,5623,3
 Business Development / Corporate Sales, lead generation| business development| corporate sales,Retail Sales,Delhi NCR,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager,77.1212148,28.6882438,1564,0
 Business Development Manager (BDM), contract management| closing| it services| relationship building| managed services| selling| market research| business development manager| sales,Retail Sales,Delhi,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager,77.2219388,28.6517178,5439,2
 QA Executive, QA Executive,QA/Testing/Documentation,Hyderabad,IT Software - QA & Testing,"Pharma, Biotech, Clinical Research",Quality Assurance/Quality Control Executive,78.4740613,17.360589,5434,2
 Back End Java Developer - Restful Services/soap, Java EE| JMS| Core Java| JUnit| Weblogic| HTML| JPA| JSON| SOAP| SQL,Programming & Design,Bengaluru,"IT Software - DBA , Datawarehousing","IT-Software, Software Services",Software Developer,77.590082,12.9767936,4114,6
 Product Engineer, Conceptualization| Architecting| Continuous improvement| SIDE| development| Front end| it,Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,77.590082,12.9767936,4897,4
 Opening For Articulate tool Developer - Articulate / Captivate)chennai, Articulate Storyline,Programming & Design,Chennai,"IT Software - Application Programming , Maintenance","Animation, Gaming",Graphic/Web Designer,80.270186,13.0836939,4626,3
 Urgent Hiring for Area Sales Manager, Area Sales Management| Retail Sales| FMCG| Chocolate| confectionary| ASM| Area Sales Manager| area business manager,Retail Sales,"Ambala,Gurgaon","Sales , Retail , Business Development","FMCG, Foods, Beverage",Area Sales Manager,76.770421,30.3843674,1724,7
 Software Engineer - C++ Development - Ooad/oops, C#| Java| OOP| C++| Multithreading| UML| OOAD| OOPS| .Net| debugging,Programming & Design,Chennai,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,80.270186,13.0836939,4562,4
 Linux Administrator Lead, qmail| workflow| nagios| windows server| networking| mysql| monitoring| redhat| maintaining| centos,Admin/Maintenance/Security/Datawarehousing,Gurgaon,"IT Software - Network Administration , Security","IT-Software, Software Services",System Administrator,77.00270015,28.42826235,5425,5
 Hiring for Tech Pm/scrum Master for Hyderabad Location, Java| JPA| Hibernate| Project Management| JDBC| Scrum Master| Microservices| Agile| SOAP| Rest,Project Management,Hyderabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Project Manager-IT/Software,78.4740613,17.360589,5286,8
 Assistant Professor (Grade I)-Theoretical Computer Science,vide,,Delhi,"Teaching , Education , Training , Counselling","Education, Teaching, Training",,77.2219388,28.6517178,2948,3
 US Based Financial Company Looking For Java API Engineers For HYD, Java| java api| Banking| j2ee| API| finance| core java| microservices,Programming & Design,Hyderabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,78.4740613,17.360589,5198,6
 Strong Partner Ecosystem, GIS| ISO 27001| HR| information system| process| ISO 9001| Information security management| GIS software| Management| Edge,Programming & Design,Noida,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Project Lead,77.3271074,28.5707841,4494,2
 Wordpress Web Developer,vide,Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",Software Developer,77.590082,12.9767936,4689,3
 Senior Executive- Contract Logistics- Bom WP-A, Administration| Administrative Support| Contract Logistics| Staff Development| Site Management| Quality Improvement| warehousing| Warehouse Operations,Logistics,Mumbai,Purchase / Logistics / Supply Chain,"Courier, Transportation, Freight , Warehousing",Logistics Executive,72.8773928,19.0759899,3815,2
 Accounts Manager, filing| tds| service industry| pf| esi| returns| coaching| payroll| invoice| tally,Accounts,Mumbai,"Accounts , Finance , Tax , Company Secretary , Audit","Security, Law Enforcement",Accounts Executive/Accountant,72.8773928,19.0759899,3252,2
 Technical Sales Executive with fixed pay & lucrative incentives/UK Inb, Outbound| Antivirus| Technical support| Sales| Spot| Inbound calls| pay| Medical| Comp,Voice,Kolkata,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical),88.35769124,22.5414185,3087,0
 nutanix sme , Troubleshooting| DNS| DHCP| Monitoring| Virtualization| Shell scripting| Python| VMS| Open source| Archiving,Technical Support,Bengaluru,"IT Hardware , Technical Support , Telecom Engineering","IT-Software, Software Services",Technical Support Manager,77.590082,12.9767936,1965,15
 System Architect - 3g/4g Wireless Network Architecture & Migration, 4G| 3GPP| 3G| System Architect| LTE| Radio Access Network| PhD| IEEE,Programming & Design,Mumbai,"IT Software - Network Administration , Security","IT-Software, Software Services",Technical Architect,72.8773928,19.0759899,3883,10
"Excellent Opportunity For ” Linux Device Driver ” ,for Hyderabad and Ban",arm processor|c|device drivers|embedded linux|linux kernel|ipc,Programming & Design," Hyderabad, Bengaluru","IT Software - Application Programming , Maintenance",IT-Software / Software Services,Software Developer,77.6370384,13.023331,5273,2
 Java Developer, JMS| Core Java| Sonar| Weblogic| XML| J2Ee| SVN| Spring| Oracle 11G| SQL,,Pune,Other,Other,Other,73.8544541,18.521428,4087,6
 Regional Representative, market| presentation| strong analytical skills| english| presentation skills| developing| customer interaction,Institutional Sales,Noida,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager,77.3271074,28.5707841,4615,0
 Hiring For Record To Report, fixed assets| accounts payable| record to report| general accounting| general ledger,Voice,"Gurgaon,Noida","ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical),77.00270015,28.42826235,6666,1
